央视,#genre#
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB亚洲武侠,https://edge6a.v2h-cdn.com/asia_action/asia_action.stream/chunklist.m3u8
TVB娱乐新闻台,http://tvpo1.rbq.plus/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
HOY TV,http://r.jdshipin.com/ZKpTD
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK31,http://r.jdshipin.com/bl38I
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8

澳视卫星,http://tdm.jdshipin.com/ch3/ch3.live/playlist.m3u8
澳视卫星,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
好莱坞电影,http://r.jdshipin.com/QFhCq
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
Channel [V],http://r.jdshipin.com/dMphc
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
无线财经,http://r.jdshipin.com/jUx8K
无线财经,http://live.cooltv.top/tv/tvb.php?id=2
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/GeWKr?id=fct406
翡翠台,http://r.jdshipin.com/GeWKr?id=fct720
华丽翡翠台,http://r.jdshipin.com/thuYX
TVB星河,http://r.jdshipin.com/sXuuD
TVB星河,http://r.jdshipin.com/Voac4
明珠台,http://r.jdshipin.com/GeWKr?id=mzt720
明珠台,http://php.jdshipin.com:8880/iptv.php?id=mzt
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
J2,http://r.jdshipin.com/Nr5jq
J2,http://r.jdshipin.com/ndGgS
VIUTV,http://r.jdshipin.com/vSJvl
VIUTV,http://r.jdshipin.com/ecsRA
HOY TV,http://r.jdshipin.com/NADme
HOY TV,http://r.jdshipin.com/ZKpTD
